PURCHASE_ORDER,PO_ITEM,PO_DATE,COMPANY_CODE,PLANT,PURCHASING_ORG,SUPPLIER,MATERIAL,ORDER_QTY,ORDER_UOM,LOCAL_CURRENCY,UNIT_PRICE_LOCAL,INFO_UNIT_PRICE,INFO_RECORD_VALID_FLAG,PRICE_COMPLIANCE_FLAG,PRICE_LEAKAGE_VALUE,REFERENCE_ITEM_VALUE,PREVIOUS_UNIT_PRICE,HIST_AVG_UNIT_PRICE,HIST_PRICE_DEVIATION_PCT,CROSS_SUPPLIER_6M_AVG_PRICE,CROSS_SUPPLIER_6M_MIN_PRICE,CROSS_SUPPLIER_6M_MAX_PRICE,CROSS_SUPPLIER_6M_SUPPLIER_COUNT,CROSS_SUPPLIER_6M_DEVIATION_PCT,ML_ANOMALY_SCORE,ML_ANOMALY_FLAG,ML_RISK_LEVEL,ML_ANOMALY_REASON,MODEL_NAME,MODEL_VERSION,ANOMALY_THRESHOLD,SCORING_TIMESTAMP
4502002395,00010,2026-12-08,3000,US01,P300,V00031,MAT00025,50,EA,USD,873.95,332.6800000000000,1,0,27063.50,16634.00,326.82,304.40,187.11,332.25,230.37,451.53,3,163.04,14.163332262504895,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002334,00030,2026-11-09,1000,DE02,P100,V00038,MAT00021,10,EA,EUR,1107.67,467.2000000000000,1,0,6404.70,4672.00,468.83,438.38,152.67,476.12,407.93,709.68,3,132.65,11.733886040273918,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002229,00020,2026-08-04,2000,IN01,P200,V00026,MAT00050,25,EA,INR,116035.82,38150.9500000000000,1,0,1947121.75,953773.75,39010.33,36292.61,219.72,38530.68,37117.66,40264.95,3,201.15,11.322901148612411,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002264,00050,2026-09-07,2000,IN01,P200,V00007,MAT00023,40,EA,INR,106429.17,42471.5600000000000,1,0,2558304.40,1698862.40,42663.09,41476.12,156.6,48274.75,45023.78,50343.97,3,120.47,10.591547073681337,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002214,00060,2026-08-04,1000,DE02,P100,V00047,MAT00024,40,EA,EUR,197.51,332.3600000000000,1,0,0.00,13294.40,804.80,347.14,-43.1,345.49,332.10,363.04,3,-42.83,7.286296798384318,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002355,00040,2026-11-09,3000,US01,P300,V00026,MAT00028,25,EA,USD,221.10,357.0100000000000,1,0,0.00,8925.25,362.81,360.45,-38.66,375.61,358.68,389.22,3,-41.14,6.331182838244565,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002294,00010,2026-10-06,1000,DE02,P100,V00039,MAT00019,25,EA,EUR,282.93,141.0600000000000,1,0,3546.75,3526.50,142.74,131.35,115.4,147.60,140.97,152.91,3,91.69,6.000523654679351,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002298,00010,2026-10-06,1000,DE02,P100,V00015,MAT00043,50,EA,EUR,530.41,529.7800000000000,1,1,0.00,26489.00,534.93,498.00,6.51,462.80,459.71,465.76,3,14.61,5.823419113596474,1,HIGH,Unusual combination of price indicators,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002188,00010,2026-07-03,2000,IN01,P200,V00005,MAT00043,25,EA,INR,28127.91,46839.0700000000000,1,0,0.00,1170976.75,60081.67,45531.03,-38.22,50299.71,43846.38,69463.98,3,-44.08,5.803386284712392,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002183,00030,2026-07-03,2000,IN01,P200,V00017,MAT00015,50,EA,INR,22979.60,34919.5200000000000,1,0,0.00,1745976.00,52362.98,34218.28,-32.84,48684.81,35639.16,94462.34,3,-52.8,5.795082054994921,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002346,00040,2026-11-09,2000,IN01,P200,V00047,MAT00034,10,EA,INR,29974.43,48109.1400000000000,1,0,0.00,481091.40,47374.41,45696.71,-34.41,50764.34,48729.36,53511.62,3,-40.95,5.779527002969924,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002232,00040,2026-08-04,3000,US01,P300,V00013,MAT00010,10,EA,USD,60.71,103.0700000000000,1,0,0.00,1030.70,103.34,98.85,-38.58,105.99,98.09,113.15,3,-42.72,5.770441260118945,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002172,00020,2026-07-03,1000,DE02,P100,V00040,MAT00008,15,EA,EUR,124.52,79.7100000000000,1,0,672.15,1195.65,77.78,82.29,51.32,73.79,72.43,74.93,3,68.75,5.755549783550607,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002379,00040,2026-12-08,1000,DE02,P100,V00035,MAT00052,75,EA,EUR,180.67,302.7000000000000,1,0,0.00,22702.50,303.00,279.53,-35.37,331.79,300.67,352.51,3,-45.55,5.700355546508816,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
4502002301,00060,2026-10-06,2000,IN01,P200,V00004,MAT00006,15,EA,INR,18697.44,31296.8500000000000,1,0,0.00,469452.75,31356.97,29535.03,-36.69,33263.25,28820.80,42851.38,3,-43.79,5.613842198543896,1,HIGH,Large deviation from alternative suppliers,PO_PRICE_KMEANS,V1,1.7329910716518928,2026-09-10 12:33:29
